taxon	phylum	class	order	genus	species
NZ_CP020554.1	Proteobacteria	Alphaproteobacteria	Acetobacterales	Bombella	Bombella apis
NC_021236.1	Firmicutes	Bacilli	Acholeplasmatales	Phytoplasma	Phytoplasma australiense
NC_013124.1	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobium	Acidimicrobium ferrooxidans
NZ_CP048114.1	Acidobacteriota	Acidobacteriae	Acidobacteriales	Edaphobacter	Edaphobacter sp010093025
NC_004572.3	Actinobacteriota	Actinomycetia	Actinomycetales	Tropheryma	Tropheryma whipplei
NZ_CP059675.1	Actinobacteriota	Actinomycetia	Actinomycetales	Scrofimicrobium	Scrofimicrobium sp014069575
NZ_LT859958.1	Chloroflexota	Anaerolineae	Anaerolineales	Brevefilum	Brevefilum fermentans
NC_020814.1	Aquificota	Aquificae	Aquificales	Hydrogenobaculum	Hydrogenobaculum sp000213785
NC_023003.1	Dependentiae	Babeliae	Babeliales	Babela	Babela massiliensis
NZ_CP027772.1	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	DB6-IX	DB6-IX sp003612895
NZ_AP019738.1	Bacteroidota	Bacteroidia	Bacteroidales	Alistipes	Alistipes onderdonkii
NZ_CP019302.1	Bacteroidota	Bacteroidia	Bacteroidales	Prevotella	Prevotella intermedia
NC_020813.1	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrio	Pseudobdellovibrio exovorus
NZ_LS483254.1	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulis	Bipolaricaulis anaerobius
NC_011244.1	Spirochaetota	Spirochaetia	Borreliales	Borrelia	Borrelia recurrentis
NC_014150.1	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspira	Brachyspira murdochii
NZ_LT934425.1	Planctomycetota	Brocadiae	Brocadiales	Kuenenia	Kuenenia stuttgartiensis
NZ_CP063849.1	Acidobacteriota	Acidobacteriae	Bryobacterales	Paludibaculum	Paludibaculum fermentans
NZ_CP040882.1	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterella	Sutterella faecalis
NC_017079.1	Chloroflexota	Anaerolineae	Caldilineales	Caldilinea	Caldilinea aerophila
NC_017096.1	Caldisericota	Caldisericia	Caldisericales	Caldisericum	Caldisericum exile
NZ_AP019774.1	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacter_E	Helicobacter_E suis
NZ_CP007035.1	Bacteroidota	Bacteroidia	Chitinophagales	Niabella	Niabella soli
NC_011027.1	Bacteroidota	Chlorobia	Chlorobiales	Chlorobaculum	Chlorobaculum parvum_A
NZ_CP029256.1	Firmicutes_A	Clostridia	Christensenellales	Christensenella	Christensenella minuta
NC_020449.1	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonas	Cloacimonas acidaminovorans
NC_016012.1	Firmicutes_A	Clostridia	Clostridiales	Dwaynesavagella	Dwaynesavagella sp000283555
NC_011295.1	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacter	Coprothermobacter proteolyticus
NC_013203.1	Actinobacteriota	Coriobacteriia	Coriobacteriales	Lancefieldella	Lancefieldella parvula
NZ_CP007541.1	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiella	Coxiella sp000815025
NC_013943.1	Deferribacterota	Deferribacteres	Deferribacterales	Denitrovibrio	Denitrovibrio acetiphilus
NC_014314.1	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalogenimonas	Dehalogenimonas lykanthroporepellens
NZ_CP044990.1	Deinococcota	Deinococci	Deinococcales	Deinococcus	Deinococcus sp009017495
NC_018645.1	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacula	Desulfobacula toluolica
NZ_CP021255.1	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbus	Desulfobulbus oralis
NZ_AP017368.1	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrio	Desulfovibrio trichonymphae
NC_010644.1	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobium	Elusimicrobium minutum
NZ_AP010872.1	Proteobacteria	Gammaproteobacteria	Enterobacterales	Ishikawaella	Ishikawaella capsulata
NZ_AP018162.1	Proteobacteria	Gammaproteobacteria	Enterobacterales_A	Nardonella	Nardonella sp004296475
NZ_CP069178.1	Firmicutes	Bacilli	Erysipelotrichales	Bulleidia	Bulleidia sp016812035
NZ_CP016327.1	Proteobacteria	Gammaproteobacteria	Evansiales	Portiera	Portiera aleyrodidarum
NC_017448.1	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes
NZ_CP059223.1	Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacterium	Blattabacterium cuenoti_Y
NZ_CP013022.1	Proteobacteria	Gammaproteobacteria	Francisellales	Francisella	Francisella persica
NZ_CP013331.1	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacterium	Fusobacterium hwasookii
NZ_CP042911.1	Planctomycetota	Planctomycetia	Gemmatales	Gemmata	Gemmata obscuriglobus
NC_012489.1	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonas	Gemmatimonas aurantiaca
NC_013440.1	Myxococcota	Polyangia	Haliangiales	Haliangium	Haliangium ochraceum
NZ_CP010904.1	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiella	Kiritimatiella glycovorans
NC_014387.1	Firmicutes_A	Clostridia	Lachnospirales	Butyrivibrio	Butyrivibrio proteoclasticus
NZ_CP030868.2	Firmicutes	Bacilli	Lactobacillales	Oenococcus	Oenococcus sp004010835
NC_010602.1	Spirochaetota	Leptospirae	Leptospirales	Leptospira_A	Leptospira_A biflexa
NC_017094.1	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillum	Leptospirillum ferrooxidans
NZ_CP018799.1	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundus	Mariprofundus aestuarium
NZ_CP065957.1	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum sp004421255
NZ_CP032788.1	Actinobacteriota	Actinomycetia	Mycobacteriales	Corynebacterium	Corynebacterium xerosis
NC_023062.1	Firmicutes	Bacilli	Mycoplasmatales	Eperythrozoon_A	Eperythrozoon_A ovis
NZ_CP013128.1	Firmicutes	Bacilli	Mycoplasmatales	GCF-1484045	GCF-1484045 sp001484045
NZ_CP038641.1	Firmicutes	Bacilli	Mycoplasmatales	Mesomycoplasma	Mesomycoplasma hyopneumoniae
NZ_CP039788.1	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmoides	Mycoplasmoides pneumoniae
NZ_CP048387.1	Firmicutes	Bacilli	Mycoplasmatales	Spiroplasma_A	Spiroplasma_A sp010365785
NZ_LN885086.1	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospira_F	Nitrospira_F inopinata
NZ_CP016094.1	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Lacunisphaera	Lacunisphaera limnophila
NZ_AP018532.1	Firmicutes_A	Clostridia	Oscillospirales	Dysosmobacter	Dysosmobacter welbionis
NZ_CP030777.1	Firmicutes_A	Clostridia	Oscillospirales	Faecalibacterium	Faecalibacterium prausnitzii
NZ_CP031125.1	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacter	Pelagibacter sp007833635
NZ_CP027228.1	Firmicutes_A	Clostridia	Peptostreptococcales	Mogibacterium	Mogibacterium diversum
NC_010003.1	Thermotogota	Thermotogae	Petrotogales	Petrotoga	Petrotoga mobilis
NC_017080.1	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaera	Phycisphaera mikurensis
NC_005027.1	Planctomycetota	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica
NZ_CP054877.1	Proteobacteria	Gammaproteobacteria	PS1	Vesicomyosocius	Vesicomyosocius sp014706615
NZ_CP065728.1	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxella	Moraxella nonliquefaciens
NZ_CP030051.1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobium	Bradyrhizobium guangdongense
NZ_CP004021.1	Proteobacteria	Alphaproteobacteria	Rhizobiales_A	Liberibacter	Liberibacter africanus
NZ_CP038439.1	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Paracoccus	Paracoccus liaowanqingii
NZ_CP030356.1	Bacteroidota	Rhodothermia	Rhodothermales	Salinibacter	Salinibacter ruber
NC_007798.1	Proteobacteria	Alphaproteobacteria	Rickettsiales	Neorickettsia	Neorickettsia sennetsu
NZ_CP015994.1	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasma	Anaplasma ovis
NZ_CP027845.1	Proteobacteria	Alphaproteobacteria	Rickettsiales	Phycorickettsia	Phycorickettsia trachydisci
NZ_CP027226.1	Firmicutes_A	Clostridia	Saccharofermentanales	Fastidiosipila	Fastidiosipila sanguinis
NZ_CP019633.1	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Sedimentisphaera	Sedimentisphaera cyanobacteriorum
NZ_CP017042.1	Firmicutes_C	Negativicutes	Selenomonadales	Centipeda	Centipeda sp001717585
NZ_CP042430.1	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Baekduia	Baekduia soli
NC_016633.1	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaeta	Sphaerochaeta pleomorpha
NZ_CP016033.1	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacter	Erythrobacter neustonensis
NZ_CP016757.1	Synergistota	Synergistia	Synergistales	Cloacibacillus	Cloacibacillus porcorum
NZ_CP014606.1	Firmicutes_B	TC1	TC1	TC1	TC1 sp001584725
NZ_CP042829.1	Chloroflexota	Dehalococcoidia	Tepidiformales	Tepidiforma	Tepidiforma bonchosmolovskayae
NZ_AP014945.1	Desulfobacterota	Thermodesulfobacteria	Thermodesulfobacteriales	Caldimicrobium	Caldimicrobium thiodismutans
NZ_CP020921.1	Thermodesulfobiota	Thermodesulfobiia	Thermodesulfobiales	Thermodesulfobium	Thermodesulfobium acidiphilum
NC_011296.1	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii
NC_011959.1	Chloroflexota	Chloroflexia	Thermomicrobiales	Thermomicrobium	Thermomicrobium roseum
NZ_LR698969.1	Firmicutes_A	Clostridia	Tissierellales	Murdochiella	Murdochiella vaginalis
NC_000919.1	Spirochaetota	Spirochaetia	Treponematales	Treponema	Treponema pallidum
NC_018020.1	Spirochaetota	Leptospirae	Turneriellales	Turneriella	Turneriella parva
NZ_CP047901.1	Patescibacteria	Microgenomatia	UBA1400	Chazhemtobacterium	Chazhemtobacterium aquaticus
NZ_CP019384.1	Omnitrophota	Koll11	UBA1572	Vampirococcus_B	Vampirococcus_B archaeovorus
NZ_CP051774.1	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Haloferula	Haloferula lutea
NZ_CP015136.1	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Luteitalea	Luteitalea pratensis
NZ_CP052855.1	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xylella	Xylella fastidiosa
